Sequence	Candidate for	Resistance_to	Reference	MGS_DANOIS	isPhage	MGS_SIZE	superkingdom	phylum	class	order	family	genus	species	COG/NOG/KOG_v3	Functional category_v3	Annotation_eggNOG_v3
MC3.MG74.AS1.GP1.C6244.G7	blab1	beta-lactam	SLB_1_AAT90846_1	-	-	-								firmNOG04815	General function prediction only 	Beta-Lactamase
MC3.MG76.AS1.GP1.C17092.G3	blab1	beta-lactam	GIM_1_JF414726	590	-	2713	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:590	KOG0813	General function prediction only 	Glyoxylase
MC3.MG78.AS1.GP1.C3697.G2	blab1	beta-lactam	IMP_27_JF894248	826	-	1641	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Coprobacillus sp. CAG:826	firmNOG04815	General function prediction only 	Beta-Lactamase
MC3.MG86.AS1.GP1.C2325.G15	blab1	beta-lactam	CCRA_EFR58421_1	171	-	3079								firmNOG05461	General function prediction only 	Metallo-Beta-Lactamase family protein
MC3.MG86.AS1.GP1.C5675.G3	blab1	beta-lactam	SLB_1_AAT90846_1	171	proph	3079								fuNOG00383	General function prediction only 	Protein involved in tR 3'-trailer cleavage, endonucleolytic
MC3.MG87.AS1.GP1.C40701.G3	blab1	beta-lactam	CCRA_EFR58421_1	-	-	-								firmNOG05461	General function prediction only 	Metallo-Beta-Lactamase family protein
MC3.MG87.AS1.GP1.C46400.G3	blab1	beta-lactam	VIM_15_EU419745	254	-	2471	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. CAG:254	firmNOG04815	General function prediction only 	Beta-Lactamase
MC3.MG9.AS1.GP1.C26541.G4	blab1	beta-lactam	EBR_1_AAN32638_1	1060	-	1792	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides sp. CAG:1060	firmNOG04815	General function prediction only 	Beta-Lactamase
MC3.MG91.AS1.GP1.C18945.G2	blab1	beta-lactam	cphA8_AY261375	1103	-	1528	Bacteria	Firmicutes	Negativicutes					firmNOG04815	General function prediction only 	Beta-Lactamase
MC3.MG95.AS1.GP1.C14935.G15	blab1	beta-lactam	SPM_1_GU831565	716	-	2965								firmNOG04815	General function prediction only 	Beta-Lactamase
MC3.MG97.AS1.GP1.C7198.G2	blab1	beta-lactam	cfiA14_FM200789	100	-	3422	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia	Roseburia sp. CAG:100	therNOG01111	General function prediction only 	Beta-Lactamase domain-containing protein
MC3.MG99.AS1.GP1.C31508.G3	blab1	beta-lactam	GIM_1_JF414726	-	proph	-								therNOG01111	General function prediction only 	Beta-Lactamase domain-containing protein
MC3.MG100.AS1.GP1.C14119.G3	blab3	beta-lactam	GOB_1_AF090141	30	-	8134	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			COG0491	General function prediction only 	Zn-dependent hydrolases, including glyoxylases
MC3.MG100.AS1.GP1.C18998.G4	blab3	beta-lactam	CAU_1_CAC48262_1	-	proph	-								COG0491	General function prediction only 	Zn-dependent hydrolases, including glyoxylases
MC3.MG100.AS1.GP1.C5856.G1	blab3	beta-lactam	BLR9_ACH58989_1	3839	-	-								COG0491	General function prediction only 	Zn-dependent hydrolases, including glyoxylases
MC3.MG101.AS1.GP1.C56456.G8	blab3	beta-lactam	GOB_2_AF189296	-	proph	-								eurNOG02326	General function prediction only 	Beta-Lactamase domain protein
MC3.MG101.AS1.GP1.C57046.G3	blab3	beta-lactam	BLR3_ACH58987_1	793	proph	1133	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:793	firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG102.AS1.GP1.C17075.G3	blab3	beta-lactam	BLR9_ACH58989_1	528	proph	1906	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	Anaerotruncus sp. CAG:528	firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG103.AS1.GP1.C22663.G2	blab3	beta-lactam	BJP_1_BAL75272_1	-	-	-								proNOG19219	General function prediction only 	Beta-Lactamase
MC3.MG103.AS1.GP1.C30170.G3	blab3	beta-lactam	GOB_7_AF189297	776	vir	1482	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma sp. CAG:776	firmNOG03182	General function prediction only 	
MC3.MG104.AS1.GP1.C6147.G4	blab3	beta-lactam	BLR9_ACH58989_1	353	proph	2925	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus sp. CAG:353	firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG108.AS1.GP1.C28421.G21	blab3	beta-lactam	BLR9_ACH58989_1	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	uncultured Eubacterium sp.	proNOG24010	General function prediction only 	Beta-Lactamase
MC3.MG11.AS1.GP1.C41520.G5	blab3	beta-lactam	GOB_18_DQ004496	594	vir	1672	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:594	firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG115.AS1.GP1.C39640.G23	blab3	beta-lactam	BLR3_ACH58987_1	878	proph	1174	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma sp. CAG:878	firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG116.AS1.GP1.C24725.G2	blab3	beta-lactam	BLR3_ACH58987_1	-	-	-	Bacteria	Firmicutes	Clostridia					firmNOG04815	General function prediction only 	Beta-Lactamase
MC3.MG118.AS1.GP1.C21413.G6	blab3	beta-lactam	GOB_7_AF189297	-	-	-								proNOG24010	General function prediction only 	Beta-Lactamase
MC3.MG12.AS1.GP1.C3716.G2	blab3	beta-lactam	GOB_3_AF189291	240	proph	2330	Bacteria	Firmicutes						firmNOG06195	General function prediction only 	Metallo-Beta-Lactamase family protein
MC3.MG12.AS1.GP1.C56370.G2	blab3	beta-lactam	BLR3_ACH58987_1	228	-	3206								bctoNOG02903	General function prediction only 	Beta-Lactamase
MC3.MG12.AS1.GP1.C56535.G59	blab3	beta-lactam	BLR3_ACH58987_1	314	vir	1455	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Subdoligranulum	Subdoligranulum sp. CAG:314	firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG12.AS1.GP1.C77250.G8	blab3	beta-lactam	BLR9_ACH58989_1	574	proph	1533								firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG12.AS1.GP1.C79639.G2	blab3	beta-lactam	BLR2_ACH58985_1	288	proph	1765	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:288	firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG12.AS1.GP1.C79942.G2	blab3	beta-lactam	GOB_7_AF189297	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:510	COG0491	General function prediction only 	Zn-dependent hydrolases, including glyoxylases
MC3.MG12.AS1.GP1.C89943.G2	blab3	beta-lactam	GOB_10_AY647247	-	proph	-								firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG12.AS1.GP1.C988.G4	blab3	beta-lactam	BLR2_ACH58985_1	129	proph	1728	Bacteria	Firmicutes						firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG120.AS1.GP1.C10540.G4	blab3	beta-lactam	BLR3_ACH58987_1	-	proph	-								firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG120.AS1.GP1.C41126.G2	blab3	beta-lactam	GOB_7_AF189297	6034	proph	3372								COG0491	General function prediction only 	Zn-dependent hydrolases, including glyoxylases
MC3.MG120.AS1.GP1.C50362.G1	blab3	beta-lactam	THIN_B_CAC33832_1	-	proph	-								firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG120.AS1.GP1.C54416.G30	blab3	beta-lactam	BLR9_ACH58989_1	6034	-	3372								firmNOG05013	General function prediction only 	Metallo-Beta-Lactamase family protein
MC3.MG122.AS1.GP1.C50668.G5	blab3	beta-lactam	GOB_7_AF189297	240	-	2330	Bacteria	Firmicutes						firmNOG03732	General function prediction only 	Beta-Lactamase domain protein
MC3.MG127.AS1.GP1.C37687.G1	blab3	beta-lactam	L_1_AJ272109	1124	-	2819	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella sp. CAG:1124	veNOG08499	General function prediction only 	Metallo-Beta-Lactamase domain containing 2
MC3.MG13.AS1.GP1.C10091.G28	blab3	beta-lactam	BLR3_ACH58987_1	710	vir	1515	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:710	firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG13.AS1.GP1.C7646.G1	blab3	beta-lactam	THIN_B_CAC33832_1	498	proph	1782								firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG131.AS1.GP1.C11394.G2	blab3	beta-lactam	THIN_B_CAC33832_1	-	-	-								creNOG01716	General function prediction only 	Beta-Lactamase domain-containing protein
MC3.MG132.AS1.GP1.C21770.G1	blab3	beta-lactam	GOB_2_AF189296	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium rectale M104/1	bctoNOG02903	General function prediction only 	Beta-Lactamase
MC3.MG135.AS1.GP1.C15171.G2	blab3	beta-lactam	GOB_16_GU188443	584	-	1918								firmNOG04815	General function prediction only 	Beta-Lactamase
MC3.MG136.AS1.GP1.C17615.G4	blab3	beta-lactam	GOB_7_AF189297	340	-	2808								COG1237	General function prediction only 	Metal-dependent hydrolases of the beta-lactamase superfamily II
MC3.MG136.AS1.GP1.C29308.G70	blab3	beta-lactam	FEZ_1_CAB96921_1	-	proph	-	Bacteria	Tenericutes	Mollicutes					firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG137.AS1.GP1.C27891.G1	blab3	beta-lactam	GOB_7_AF189297	198	proph	1296	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae			firmNOG06195	General function prediction only 	Metallo-Beta-Lactamase family protein
MC3.MG137.AS1.GP1.C29536.G2	blab3	beta-lactam	GOB_7_AF189297	2193	-	-								proNOG19219	General function prediction only 	Beta-Lactamase
MC3.MG137.AS1.GP1.C53999.G2	blab3	beta-lactam	BLR19_ACH59005_1	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella	Tyzzerella nexilis	veNOG08499	General function prediction only 	Metallo-Beta-Lactamase domain containing 2
MC3.MG138.AS1.GP1.C14772.G3	blab3	beta-lactam	GOB_3_AF189291	-	-	-								proNOG24010	General function prediction only 	Beta-Lactamase
MC3.MG138.AS1.GP1.C29986.G8	blab3	beta-lactam	L_1_AJ272109	-	-	-								dproNOG08533	General function prediction only 	Beta-Lactamase domain-containing protein
MC3.MG138.AS1.GP1.C49168.G2	blab3	beta-lactam	BLR3_ACH58987_1	-	-	-								proNOG19219	General function prediction only 	Beta-Lactamase
MC3.MG139.AS1.GP1.C40924.G2	blab3	beta-lactam	FEZ_1_CAB96921_1	921	proph	1513	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:921	firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG140.AS1.GP1.C18534.G2	blab3	beta-lactam	L_1_AJ272109	3898	-	-								bctoNOG02903	General function prediction only 	Beta-Lactamase
MC3.MG140.AS1.GP1.C53996.G2	blab3	beta-lactam	BLR9_ACH58989_1	-	-	-								arNOG01551	General function prediction only 	
MC3.MG144.AS1.GP1.C20007.G3	blab3	beta-lactam	BLR9_ACH58989_1	-	-	-								proNOG05196	General function prediction only 	Beta-Lactamase
MC3.MG144.AS1.GP1.C49042.G1	blab3	beta-lactam	BJP_1_BAL75272_1	-	proph	-								COG0491	General function prediction only 	Zn-dependent hydrolases, including glyoxylases
MC3.MG151.AS1.GP1.C18338.G3	blab3	beta-lactam	BLR3_ACH58987_1	-	vir	-								firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG151.AS1.GP1.C2687.G3	blab3	beta-lactam	BLR19_ACH59005_1	708	proph	1924								firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG157.AS1.GP1.C11557.G2	blab3	beta-lactam	GOB_3_AF189291	-	-	-	Bacteria	Firmicutes	Negativicutes					firmNOG03732	General function prediction only 	Beta-Lactamase domain protein
MC3.MG158.AS1.GP1.C12338.G1	blab3	beta-lactam	BLR19_ACH59005_1	-	-	-	Bacteria	Firmicutes	Clostridia					veNOG08499	General function prediction only 	Metallo-Beta-Lactamase domain containing 2
MC3.MG16.AS1.GP1.C8336.G7	blab3	beta-lactam	GOB_7_AF189297	160	-	2460	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides clarus YIT 12056	COG1237	General function prediction only 	Metal-dependent hydrolases of the beta-lactamase superfamily II
MC3.MG172.AS1.GP1.C18715.G1	blab3	beta-lactam	BJP_1_BAL75272_1	432	-	1204								proNOG24010	General function prediction only 	Beta-Lactamase
MC3.MG173.AS1.GP1.C23405.G5	blab3	beta-lactam	BLR3_ACH58987_1	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		proNOG24010	General function prediction only 	Beta-Lactamase
MC3.MG173.AS1.GP1.C28082.G5	blab3	beta-lactam	L_1_AJ272109	-	-	-								eurNOG02622	General function prediction only 	Beta-Lactamase
MC3.MG179.AS1.GP1.C43188.G11	blab3	beta-lactam	BLR8_ACH58988_1	199	vir	1492	Bacteria	Firmicutes						firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG179.AS1.GP1.C66991.G68	blab3	beta-lactam	BLR8_ACH58988_1	-	proph	-	Bacteria	Firmicutes	Clostridia					firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG181.AS1.GP1.C28111.G1	blab3	beta-lactam	GOB_2_AF189296	-	-	-								proNOG19219	General function prediction only 	Beta-Lactamase
MC3.MG183.AS1.GP1.C14016.G1	blab3	beta-lactam	BJP_1_BAL75272_1	1636	-	-								proNOG24010	General function prediction only 	Beta-Lactamase
MC3.MG185.AS1.GP1.C64536.G1	blab3	beta-lactam	GOB_15_AY775547	-	-	-								proNOG19219	General function prediction only 	Beta-Lactamase
MC3.MG192.AS1.GP1.C17856.G2	blab3	beta-lactam	GOB_15_AY775547	64	-	4224	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Clostridium innocuum	arNOG01551	General function prediction only 	
MC3.MG192.AS1.GP1.C3067.G2	blab3	beta-lactam	GOB_2_AF189296	257	-	3061	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia sp. CAG:257	firmNOG05013	General function prediction only 	Metallo-Beta-Lactamase family protein
MC3.MG192.AS1.GP1.C696.G2	blab3	beta-lactam	GOB_8_AY348327	820	proph	1105	Bacteria	Firmicutes	Clostridia					COG0491	General function prediction only 	Zn-dependent hydrolases, including glyoxylases
MC3.MG193.AS1.GP1.C5875.G2	blab3	beta-lactam	GOB_7_AF189297	83	proph	1671	Bacteria	Firmicutes						firmNOG06195	General function prediction only 	Metallo-Beta-Lactamase family protein
MC3.MG195.AS1.GP1.C1258.G5	blab3	beta-lactam	GOB_15_AY775547	3379	-	-								COG0491	General function prediction only 	Zn-dependent hydrolases, including glyoxylases
MC3.MG195.AS1.GP1.C22783.G2	blab3	beta-lactam	BLR3_ACH58987_1	1759	-	-								proNOG24010	General function prediction only 	Beta-Lactamase
MC3.MG201.AS1.GP1.C40186.G7	blab3	beta-lactam	BLR2_ACH58985_1	-	vir	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus mucosae	firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG205.AS1.GP1.C38646.G2	blab3	beta-lactam	BLR12_ACH58990_1	174	-	2646								proNOG36121	General function prediction only 	
MC3.MG207.AS1.GP1.C25092.G1	blab3	beta-lactam	BLR3_ACH58987_1	5530	-	-								proNOG01908	General function prediction only 	Beta-Lactamase
MC3.MG208.AS1.GP1.C19561.G4	blab3	beta-lactam	GOB_16_GU188443	-	-	-	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium ulcerans	COG0491	General function prediction only 	Zn-dependent hydrolases, including glyoxylases
MC3.MG210.AS1.GP1.C646.G5	blab3	beta-lactam	GOB_11_AY647248	-	-	-								firmNOG04815	General function prediction only 	Beta-Lactamase
MC3.MG216.AS1.GP1.C37568.G2	blab3	beta-lactam	GOB_16_GU188443	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	uncultured Ruminococcus sp.	bctoNOG02903	General function prediction only 	Beta-Lactamase
MC3.MG220.AS1.GP1.C48918.G6	blab3	beta-lactam	GOB_3_AF189291	-	-	-								proNOG19219	General function prediction only 	Beta-Lactamase
MC3.MG220.AS1.GP1.C6684.G2	blab3	beta-lactam	GOB_7_AF189297	-	-	-								COG0491	General function prediction only 	Zn-dependent hydrolases, including glyoxylases
MC3.MG222.AS1.GP1.C18119.G2	blab3	beta-lactam	BJP_1_BAL75272_1	233	-	1679	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	Parasutterella excrementihominis	proNOG19219	General function prediction only 	Beta-Lactamase
MC3.MG224.AS1.GP1.C42715.G3	blab3	beta-lactam	GOB_7_AF189297	-	-	-								proNOG02934	General function prediction only 	Beta-Lactamase
MC3.MG227.AS1.GP1.C3083.G4	blab3	beta-lactam	FEZ_1_CAB96921_1	-	-	-	Bacteria	Firmicutes	Clostridia					COG0491	General function prediction only 	Zn-dependent hydrolases, including glyoxylases
MC3.MG228.AS1.GP1.C18631.G2	blab3	beta-lactam	GOB_3_AF189291	-	proph	-								proNOG24010	General function prediction only 	Beta-Lactamase
MC3.MG232.AS1.GP1.C59038.G4	blab3	beta-lactam	CAU_1_CAC48262_1	408	proph	2690								firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG238.AS1.GP1.C5618.G1	blab3	beta-lactam	GOB_1_AF090141	210	-	2198	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella wadsworthensis	COG1237	General function prediction only 	Metal-dependent hydrolases of the beta-lactamase superfamily II
MC3.MG240.AS1.GP1.C22285.G4	blab3	beta-lactam	GOB_7_AF189297	573	-	2010	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	Megasphaera sp. NM10	firmNOG03732	General function prediction only 	Beta-Lactamase domain protein
MC3.MG240.AS1.GP1.C33056.G1	blab3	beta-lactam	BLR8_ACH58988_1	573	proph	2010	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	Megasphaera sp. NM10	firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG243.AS1.GP1.C59110.G1	blab3	beta-lactam	GOB_1_AF090141	-	-	-								veNOG08499	General function prediction only 	Metallo-Beta-Lactamase domain containing 2
MC3.MG244.AS1.GP1.C8394.G3	blab3	beta-lactam	GOB_7_AF189297	30	-	8134	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae			eurNOG02326	General function prediction only 	Beta-Lactamase domain protein
MC3.MG245.AS1.GP1.C21695.G13	blab3	beta-lactam	GOB_4_AF189293	505	-	3185	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:505	firmNOG03732	General function prediction only 	Beta-Lactamase domain protein
MC3.MG247.AS1.GP1.C2245.G2	blab3	beta-lactam	GOB_3_AF189291	173	-	2829								proNOG19219	General function prediction only 	Beta-Lactamase
MC3.MG248.AS1.GP1.C1529.G2	blab3	beta-lactam	GOB_7_AF189297	-	-	-								chloNOG03379	General function prediction only 	Beta-Lactamase domain-containing protein
MC3.MG248.AS1.GP1.C45858.G4	blab3	beta-lactam	BLR3_ACH58987_1	-	-	-								dproNOG09055	General function prediction only 	Beta-Lactamase domain-containing protein
MC3.MG255.AS1.GP1.C4462.G13	blab3	beta-lactam	GOB_11_AY647248	631	-	1423	Bacteria	Firmicutes						bctoNOG02903	General function prediction only 	Beta-Lactamase
MC3.MG26.AS1.GP1.C10985.G4	blab3	beta-lactam	BLR3_ACH58987_1	-	-	-								proNOG19219	General function prediction only 	Beta-Lactamase
MC3.MG267.AS1.GP1.C50227.G2	blab3	beta-lactam	GOB_7_AF189297	-	-	-								COG0491	General function prediction only 	Zn-dependent hydrolases, including glyoxylases
MC3.MG271.AS1.GP1.C47885.G2	blab3	beta-lactam	GOB_3_AF189291	2152	-	-								proNOG19219	General function prediction only 	Beta-Lactamase
MC3.MG271.AS1.GP1.C5657.G1	blab3	beta-lactam	BLR9_ACH58989_1	85	-	2680								firmNOG05013	General function prediction only 	Metallo-Beta-Lactamase family protein
MC3.MG274.AS1.GP1.C22157.G2	blab3	beta-lactam	BJP_1_BAL75272_1	845	proph	-								firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG277.AS1.GP1.C21817.G1	blab3	beta-lactam	GOB_3_AF189291	-	-	-	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium mortiferum	proNOG24010	General function prediction only 	Beta-Lactamase
MC3.MG28.AS1.GP1.C23760.G2	blab3	beta-lactam	BLR3_ACH58987_1	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium sp. 3_1_31	veNOG08499	General function prediction only 	Metallo-Beta-Lactamase domain containing 2
MC3.MG28.AS1.GP1.C35817.G2	blab3	beta-lactam	BLR8_ACH58988_1	352	proph	2416	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:352	firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG282.AS1.GP1.C14925.G4	blab3	beta-lactam	BLR9_ACH58989_1	-	-	-								firmNOG13382	General function prediction only 	Beta-Lactamase domain-containing protein
MC3.MG284.AS1.GP1.C18122.G1	blab3	beta-lactam	BLR8_ACH58988_1	19	-	2290	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus comes	firmNOG05013	General function prediction only 	Metallo-Beta-Lactamase family protein
MC3.MG285.AS1.GP1.C31698.G1	blab3	beta-lactam	GOB_6_AF189292	132	proph	5852	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium clostridioforme 2_1_49FAA	COG0491	General function prediction only 	Zn-dependent hydrolases, including glyoxylases
MC3.MG285.AS1.GP1.C34168.G2	blab3	beta-lactam	GOB_12_AY647249	511	-	2120	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Clostridium clostridioforme	arNOG01551	General function prediction only 	
MC3.MG285.AS1.GP1.C8049.G2	blab3	beta-lactam	BJP_1_BAL75272_1	-	-	-								proNOG19219	General function prediction only 	Beta-Lactamase
MC3.MG286.AS1.GP1.C459.G8	blab3	beta-lactam	GOB_2_AF189296	81	-	2860	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium sp. CAG:81	firmNOG05013	General function prediction only 	Metallo-Beta-Lactamase family protein
MC3.MG287.AS1.GP1.C230.G8	blab3	beta-lactam	GOB_16_GU188443	-	-	-	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium		creNOG00684	General function prediction only 	Beta-Lactamase domain protein
MC3.MG288.AS1.GP1.C11138.G1	blab3	beta-lactam	BLR2_ACH58985_1	-	proph	-	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	Megasphaera sp. NP3	firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG290.AS1.GP1.C52030.G8	blab3	beta-lactam	BLR9_ACH58989_1	212	proph	2040	Bacteria	Firmicutes						proNOG14106	General function prediction only 	
MC3.MG291.AS1.GP1.C1053.G2	blab3	beta-lactam	GOB_7_AF189297	59	proph	4097	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium bolteae ATCC BAA-613	COG0491	General function prediction only 	Zn-dependent hydrolases, including glyoxylases
MC3.MG291.AS1.GP1.C10704.G9	blab3	beta-lactam	GOB_7_AF189297	-	-	-								proNOG14106	General function prediction only 	
MC3.MG291.AS1.GP1.C8140.G1	blab3	beta-lactam	BLR8_ACH58988_1	59	-	4097	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium bolteae ATCC BAA-613	proNOG14106	General function prediction only 	
MC3.MG292.AS1.GP1.C39909.G4	blab3	beta-lactam	GOB_3_AF189291	-	-	-	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium		proNOG14106	General function prediction only 	
MC3.MG292.AS1.GP1.C973.G4	blab3	beta-lactam	BLR9_ACH58989_1	132	-	5852	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Clostridium clostridioforme	proNOG19219	General function prediction only 	Beta-Lactamase
MC3.MG293.AS1.GP1.C57199.G4	blab3	beta-lactam	BLR7_ACH58998_1	1050	vir	1221	Bacteria	Firmicutes	Clostridia					firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG299.AS1.GP1.C35411.G13	blab3	beta-lactam	BJP_1_BAL75272_1	882	proph	2661	Bacteria	Firmicutes						firmNOG01803	General function prediction only 	Beta-Lactamase
MC3.MG3.AS1.GP1.C15750.G2	blab3	beta-lactam	CAU_1_CAC48262_1	286	-	1878								COG1237	General function prediction only 	Metal-dependent hydrolases of the beta-lactamase superfamily II
MC3.MG304.AS1.GP1.C16175.G16	blab3	beta-lactam	BJP_1_BAL75272_1	-	-	-								proNOG19219	General function prediction only 	Beta-Lactamase
MC3.MG304.AS1.GP1.C17228.G53	blab3	beta-lactam	BLR9_ACH58989_1	-	proph	-								firmNOG06017	Function unknown 	
MC3.MG304.AS1.GP1.C8481.G2	blab3	beta-lactam	BLR9_ACH58989_1	-	proph	-								bctoNOG02903	General function prediction only 	Beta-Lactamase
MC3.MG306.AS1.GP1.C5725.G2	blab3	beta-lactam	GOB_3_AF189291	329	-	2226								firmNOG03732	General function prediction only 	Beta-Lactamase domain protein
MC3.MG307.AS1.GP1.C23052.G2	blab3	beta-lactam	BLR3_ACH58987_1	1854	-	-	Bacteria	Firmicutes						opiNOG01712	General function prediction only 	Paroxysmal nonkinesigenic dyskinesia protein
MC3.MG309.AS1.GP1.C4975.G4	blab3	beta-lactam	BLR7_ACH58998_1	351	-	2432	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutterella sp. CAG:351	proNOG19219	General function prediction only 	Beta-Lactamase
MC3.MG313.AS1.GP1.C16312.G2	blab3	beta-lactam	BLR2_ACH58985_1	511	-	2120	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Clostridium clostridioforme	proNOG19219	General function prediction only 	Beta-Lactamase
